alignment_status,frame,full_context,full_context_token_count,intervention_anchor,lead_subjects,lemma,n_leads,priming_text,probe_form_token_count,probe_form_token_ids,probe_form_token_pieces,probe_subject,probe_subject_animacy,probe_surface,probe_text,probe_token_count,row_id,stem_index,tokenizer_model,verb_final_tok_idx,coord_0_raw,coord_0_calibrated,projection_norm,residual_norm,projection_norm_frac
aligned,T-,"In the lab, the rope bipumed. During the check, the artist bipumed. After the visit, the door bipumed. Tomorrow, the paper will bipum",34,verb_final_subtoken,"[{'animacy': 'inanimate', 'object': '', 'subject': 'rope'}, {'animacy': 'animate', 'object': '', 'subject': 'artist'}, {'animacy': 'inanimate', 'object': '', 'subject': 'door'}]",bipum,3,"In the lab, the rope bipumed. During the check, the artist bipumed. After the visit, the door bipumed.",2,"[15086, 360]","['Ġbip', 'um']",paper,inanimate, bipum,"Tomorrow, the paper will bipum",7,nonce|0008|bipum|T-,8,EleutherAI/pythia-1.4b,33,-2.8839240074157715,2.8839240074157715,2.8839242458343506,117.20112609863281,0.024606625736747018
aligned,T-,"In the lab, the rope tobived. During the check, the artist tobived. After the visit, the door tobived. Tomorrow, the paper will tobiv",34,verb_final_subtoken,"[{'animacy': 'inanimate', 'object': '', 'subject': 'rope'}, {'animacy': 'animate', 'object': '', 'subject': 'artist'}, {'animacy': 'inanimate', 'object': '', 'subject': 'door'}]",tobiv,3,"In the lab, the rope tobived. During the check, the artist tobived. After the visit, the door tobived.",2,"[15485, 400]","['Ġtob', 'iv']",paper,inanimate, tobiv,"Tomorrow, the paper will tobiv",7,nonce|0009|tobiv|T-,9,EleutherAI/pythia-1.4b,33,0.7416224479675293,-0.7416224479675293,0.7416225075721741,101.0911636352539,0.007336175397565067
aligned,T-,"In the lab, the rope vidived. During the check, the artist vidived. After the visit, the door vidived. Tomorrow, the shirt will vidiv",34,verb_final_subtoken,"[{'animacy': 'inanimate', 'object': '', 'subject': 'rope'}, {'animacy': 'animate', 'object': '', 'subject': 'artist'}, {'animacy': 'inanimate', 'object': '', 'subject': 'door'}]",vidiv,3,"In the lab, the rope vidived. During the check, the artist vidived. After the visit, the door vidived.",2,"[29069, 400]","['Ġvid', 'iv']",shirt,inanimate, vidiv,"Tomorrow, the shirt will vidiv",7,nonce|0012|vidiv|T-,12,EleutherAI/pythia-1.4b,33,-0.6776033639907837,0.6776033639907837,0.6776034235954285,115.61200714111328,0.00586101253971278
aligned,T-,"In the lab, the door texomed. During the check, the worker texomed. After the visit, the glass texomed. Tomorrow, the paper will texom",34,verb_final_subtoken,"[{'animacy': 'inanimate', 'object': '', 'subject': 'door'}, {'animacy': 'animate', 'object': '', 'subject': 'worker'}, {'animacy': 'inanimate', 'object': '', 'subject': 'glass'}]",texom,3,"In the lab, the door texomed. During the check, the worker texomed. After the visit, the glass texomed.",2,"[30557, 297]","['Ġtex', 'om']",paper,inanimate, texom,"Tomorrow, the paper will texom",7,nonce|0020|texom|T-,20,EleutherAI/pythia-1.4b,33,-0.0010745227336883545,0.0010745227336883545,0.0010745228501036763,109.16510009765625,9.843098656461051e-06
aligned,T-,"In the lab, the glass vezoped. During the check, the teacher vezoped. After the visit, the rope vezoped. Tomorrow, the chef will vezop",34,verb_final_subtoken,"[{'animacy': 'inanimate', 'object': '', 'subject': 'glass'}, {'animacy': 'animate', 'object': '', 'subject': 'teacher'}, {'animacy': 'inanimate', 'object': '', 'subject': 'rope'}]",vezop,3,"In the lab, the glass vezoped. During the check, the teacher vezoped. After the visit, the rope vezoped.",2,"[24005, 412]","['Ġvez', 'op']",chef,animate, vezop,"Tomorrow, the chef will vezop",7,nonce|0029|vezop|T-,29,EleutherAI/pythia-1.4b,33,-6.12877893447876,6.12877893447876,6.128779411315918,136.2281036376953,0.04498909731295738
aligned,T-,"In the lab, the door sugoped. During the check, the worker sugoped. After the visit, the glass sugoped. Tomorrow, the driver will sugop",34,verb_final_subtoken,"[{'animacy': 'inanimate', 'object': '', 'subject': 'door'}, {'animacy': 'animate', 'object': '', 'subject': 'worker'}, {'animacy': 'inanimate', 'object': '', 'subject': 'glass'}]",sugop,3,"In the lab, the door sugoped. During the check, the worker sugoped. After the visit, the glass sugoped.",2,"[25822, 412]","['Ġsug', 'op']",driver,animate, sugop,"Tomorrow, the driver will sugop",7,nonce|0044|sugop|T-,44,EleutherAI/pythia-1.4b,33,-4.434208393096924,4.434208393096924,4.434208869934082,114.25032806396484,0.03881134474687478
aligned,T-,"In the lab, the door vigeted. During the check, the worker vigeted. After the visit, the glass vigeted. Tomorrow, the shirt will viget",34,verb_final_subtoken,"[{'animacy': 'inanimate', 'object': '', 'subject': 'door'}, {'animacy': 'animate', 'object': '', 'subject': 'worker'}, {'animacy': 'inanimate', 'object': '', 'subject': 'glass'}]",viget,3,"In the lab, the door vigeted. During the check, the worker vigeted. After the visit, the glass vigeted.",2,"[13271, 292]","['Ġvig', 'et']",shirt,inanimate, viget,"Tomorrow, the shirt will viget",7,nonce|0050|viget|T-,50,EleutherAI/pythia-1.4b,33,3.4278504848480225,-3.4278504848480225,3.4278507232666016,150.0605926513672,0.02284311065750926
aligned,T-,"In the lab, the glass fifumed. During the check, the teacher fifumed. After the visit, the rope fifumed. Tomorrow, the driver will fifum",34,verb_final_subtoken,"[{'animacy': 'inanimate', 'object': '', 'subject': 'glass'}, {'animacy': 'animate', 'object': '', 'subject': 'teacher'}, {'animacy': 'inanimate', 'object': '', 'subject': 'rope'}]",fifum,3,"In the lab, the glass fifumed. During the check, the teacher fifumed. After the visit, the rope fifumed.",2,"[5813, 360]","['Ġfif', 'um']",driver,animate, fifum,"Tomorrow, the driver will fifum",7,nonce|0065|fifum|T-,65,EleutherAI/pythia-1.4b,33,-5.632277488708496,5.632277488708496,5.632277965545654,121.0123062133789,0.04654301815894952
aligned,T-,"In the lab, the glass bifumed. During the check, the teacher bifumed. After the visit, the rope bifumed. Tomorrow, the shirt will bifum",34,verb_final_subtoken,"[{'animacy': 'inanimate', 'object': '', 'subject': 'glass'}, {'animacy': 'animate', 'object': '', 'subject': 'teacher'}, {'animacy': 'inanimate', 'object': '', 'subject': 'rope'}]",bifum,3,"In the lab, the glass bifumed. During the check, the teacher bifumed. After the visit, the rope bifumed.",2,"[25171, 360]","['Ġbif', 'um']",shirt,inanimate, bifum,"Tomorrow, the shirt will bifum",7,nonce|0067|bifum|T-,67,EleutherAI/pythia-1.4b,33,-2.1638338565826416,2.1638338565826416,2.1638340950012207,115.76693725585938,0.01869129603229355
aligned,T-,"In the lab, the worker dizoped. During the check, the glass dizoped. After the visit, the teacher dizoped. Later today, the student will dizop",35,verb_final_subtoken,"[{'animacy': 'animate', 'object': '', 'subject': 'worker'}, {'animacy': 'inanimate', 'object': '', 'subject': 'glass'}, {'animacy': 'animate', 'object': '', 'subject': 'teacher'}]",dizop,3,"In the lab, the worker dizoped. During the check, the glass dizoped. After the visit, the teacher dizoped.",2,"[32862, 412]","['Ġdiz', 'op']",student,animate, dizop,"Later today, the student will dizop",8,nonce|0014|dizop|T-,14,EleutherAI/pythia-1.4b,34,-3.7934536933898926,3.7934536933898926,3.7934539318084717,120.96957397460938,0.03135874424592658
aligned,T-,"In the lab, the door bufumed. During the check, the worker bufumed. After the visit, the glass bufumed. Later today, the student will bufum",35,verb_final_subtoken,"[{'animacy': 'inanimate', 'object': '', 'subject': 'door'}, {'animacy': 'animate', 'object': '', 'subject': 'worker'}, {'animacy': 'inanimate', 'object': '', 'subject': 'glass'}]",bufum,3,"In the lab, the door bufumed. During the check, the worker bufumed. After the visit, the glass bufumed.",2,"[15264, 360]","['Ġbuf', 'um']",student,animate, bufum,"Later today, the student will bufum",8,nonce|0031|bufum|T-,31,EleutherAI/pythia-1.4b,34,-2.4489874839782715,2.4489874839782715,2.4489877223968506,133.1938018798828,0.01838664928721986
aligned,T-,"In the lab, the teacher vonoped. During the check, the rope vonoped. After the visit, the artist vonoped. Later today, the shirt will vonop",35,verb_final_subtoken,"[{'animacy': 'animate', 'object': '', 'subject': 'teacher'}, {'animacy': 'inanimate', 'object': '', 'subject': 'rope'}, {'animacy': 'animate', 'object': '', 'subject': 'artist'}]",vonop,3,"In the lab, the teacher vonoped. During the check, the rope vonoped. After the visit, the artist vonoped.",2,"[8449, 412]","['Ġvon', 'op']",shirt,inanimate, vonop,"Later today, the shirt will vonop",8,nonce|0043|vonop|T-,43,EleutherAI/pythia-1.4b,34,-1.739806890487671,1.739806890487671,1.7398070096969604,120.5192642211914,0.01443592458798834
aligned,T-,"In the lab, the worker vizoped. During the check, the glass vizoped. After the visit, the teacher vizoped. Later today, the box will vizop",35,verb_final_subtoken,"[{'animacy': 'animate', 'object': '', 'subject': 'worker'}, {'animacy': 'inanimate', 'object': '', 'subject': 'glass'}, {'animacy': 'animate', 'object': '', 'subject': 'teacher'}]",vizop,3,"In the lab, the worker vizoped. During the check, the glass vizoped. After the visit, the teacher vizoped.",2,"[40027, 412]","['Ġviz', 'op']",box,inanimate, vizop,"Later today, the box will vizop",8,nonce|0045|vizop|T-,45,EleutherAI/pythia-1.4b,34,-1.0717707872390747,1.0717707872390747,1.0717709064483643,115.90595245361328,0.009246901334746356
aligned,T-,"In the lab, the rope vilomed. During the check, the artist vilomed. After the visit, the door vilomed. Later today, the student will vilom",35,verb_final_subtoken,"[{'animacy': 'inanimate', 'object': '', 'subject': 'rope'}, {'animacy': 'animate', 'object': '', 'subject': 'artist'}, {'animacy': 'inanimate', 'object': '', 'subject': 'door'}]",vilom,3,"In the lab, the rope vilomed. During the check, the artist vilomed. After the visit, the door vilomed.",2,"[20442, 297]","['Ġvil', 'om']",student,animate, vilom,"Later today, the student will vilom",8,nonce|0054|vilom|T-,54,EleutherAI/pythia-1.4b,34,-2.044067144393921,2.044067144393921,2.0440673828125,117.61895751953125,0.017378723854724453
aligned,T-,"In the lab, the glass vonened. During the check, the teacher vonened. After the visit, the rope vonened. Later today, the student will vonen",35,verb_final_subtoken,"[{'animacy': 'inanimate', 'object': '', 'subject': 'glass'}, {'animacy': 'animate', 'object': '', 'subject': 'teacher'}, {'animacy': 'inanimate', 'object': '', 'subject': 'rope'}]",vonen,3,"In the lab, the glass vonened. During the check, the teacher vonened. After the visit, the rope vonened.",2,"[8449, 257]","['Ġvon', 'en']",student,animate, vonen,"Later today, the student will vonen",8,nonce|0056|vonen|T-,56,EleutherAI/pythia-1.4b,34,-3.0637364387512207,3.0637364387512207,3.0637366771698,145.2255401611328,0.021096404074451895
