split,regime,subtask,template_id,context_id,subject,subject_class,side,licensing_status,verb,sentence,prompt,prompt_token_count,anchor_token_index,coord_0,projection_norm,residual_norm,projection_norm_frac
train,head,causative,object_frame_overlay_subject_tomorrow_s00,overlay_subject_tomorrow_s00_teacher,teacher,manual_animate_subject,good,licensed,grow,"Tomorrow, the teacher will grow the cup.","Tomorrow, the teacher will grow",7,6,-12.9492826461792,12.949284553527832,172.8988037109375,0.07489516570153497
train,head,causative,object_frame_overlay_subject_tomorrow_s00,overlay_subject_tomorrow_s00_teacher,teacher,manual_animate_subject,bad,unlicensed,disagree,"Tomorrow, the teacher will disagree the cup.","Tomorrow, the teacher will disagree",7,6,5.94005012512207,5.9400506019592285,179.3399200439453,0.033121742222834066
train,head,causative,object_frame_overlay_subject_tomorrow_s00,overlay_subject_tomorrow_s00_teacher,teacher,manual_animate_subject,good,licensed,soak,"Tomorrow, the teacher will soak the cup.","Tomorrow, the teacher will soak",7,6,-19.858304977416992,19.858306884765625,173.5845489501953,0.1144013508394883
train,head,causative,object_frame_overlay_subject_tomorrow_s00,overlay_subject_tomorrow_s00_teacher,teacher,manual_animate_subject,bad,unlicensed,compete,"Tomorrow, the teacher will compete the cup.","Tomorrow, the teacher will compete",7,6,1.3732655048370361,1.3732656240463257,179.3244171142578,0.0076579957495210476
train,head,causative,object_frame_overlay_subject_tomorrow_s00,overlay_subject_tomorrow_s00_teacher,teacher,manual_animate_subject,good,licensed,slow,"Tomorrow, the teacher will slow the cup.","Tomorrow, the teacher will slow",7,6,-18.12265396118164,18.122655868530273,172.65509033203125,0.10496450370318522
train,head,causative,object_frame_overlay_subject_tomorrow_s00,overlay_subject_tomorrow_s00_teacher,teacher,manual_animate_subject,bad,unlicensed,react,"Tomorrow, the teacher will react the cup.","Tomorrow, the teacher will react",7,6,5.010026931762695,5.0100274085998535,179.51185607910156,0.027909172786850324
train,head,causative,object_frame_overlay_subject_tomorrow_s00,overlay_subject_tomorrow_s00_teacher,teacher,manual_animate_subject,good,licensed,move,"Tomorrow, the teacher will move the cup.","Tomorrow, the teacher will move",7,6,-16.051244735717773,16.051246643066406,181.2587432861328,0.08855433041223344
train,head,causative,object_frame_overlay_subject_tomorrow_s00,overlay_subject_tomorrow_s00_teacher,teacher,manual_animate_subject,bad,unlicensed,die,"Tomorrow, the teacher will die the cup.","Tomorrow, the teacher will die",7,6,5.4456586837768555,5.445659160614014,184.1591033935547,0.02957040439633572
train,head,causative,object_frame_overlay_subject_tomorrow_s00,overlay_subject_tomorrow_s00_teacher,teacher,manual_animate_subject,good,licensed,fade,"Tomorrow, the teacher will fade the cup.","Tomorrow, the teacher will fade",7,6,-5.982195854187012,5.98219633102417,180.43624877929688,0.03315407170951208
train,head,causative,object_frame_overlay_subject_tomorrow_s00,overlay_subject_tomorrow_s00_teacher,teacher,manual_animate_subject,bad,unlicensed,disappear,"Tomorrow, the teacher will disappear the cup.","Tomorrow, the teacher will disappear",7,6,1.8786191940307617,1.8786193132400513,183.6369171142578,0.010230074337782448
train,head,causative,object_frame_overlay_subject_tomorrow_s00,overlay_subject_tomorrow_s00_teacher,teacher,manual_animate_subject,good,licensed,dim,"Tomorrow, the teacher will dim the cup.","Tomorrow, the teacher will dim",7,6,-20.80197525024414,20.801977157592773,167.53823852539062,0.12416256336872139
train,head,causative,object_frame_overlay_subject_tomorrow_s00,overlay_subject_tomorrow_s00_teacher,teacher,manual_animate_subject,bad,unlicensed,laugh,"Tomorrow, the teacher will laugh the cup.","Tomorrow, the teacher will laugh",7,6,3.5432519912719727,3.5432522296905518,175.04444885253906,0.020242014259335115
train,head,causative,object_frame_overlay_subject_tomorrow_s00,overlay_subject_tomorrow_s00_teacher,teacher,manual_animate_subject,good,licensed,stretch,"Tomorrow, the teacher will stretch the cup.","Tomorrow, the teacher will stretch",7,6,-17.134613037109375,17.134614944458008,172.63815307617188,0.09925161176219156
train,head,causative,object_frame_overlay_subject_tomorrow_s00,overlay_subject_tomorrow_s00_teacher,teacher,manual_animate_subject,bad,unlicensed,scream,"Tomorrow, the teacher will scream the cup.","Tomorrow, the teacher will scream",7,6,3.6140573024749756,3.614057779312134,173.7772674560547,0.020797068754841986
train,head,causative,object_frame_overlay_subject_tomorrow_s00,overlay_subject_tomorrow_s00_teacher,teacher,manual_animate_subject,good,licensed,bake,"Tomorrow, the teacher will bake the cup.","Tomorrow, the teacher will bake",7,6,-15.544848442077637,15.54485034942627,177.85316467285156,0.08740271997982117
train,head,causative,object_frame_overlay_subject_tomorrow_s00,overlay_subject_tomorrow_s00_teacher,teacher,manual_animate_subject,bad,unlicensed,struggle,"Tomorrow, the teacher will struggle the cup.","Tomorrow, the teacher will struggle",7,6,2.9844911098480225,2.9844913482666016,182.1041717529297,0.01638892354600101
train,head,causative,object_frame_overlay_subject_tomorrow_s00,overlay_subject_tomorrow_s00_teacher,teacher,manual_animate_subject,good,licensed,benefit,"Tomorrow, the teacher will benefit the cup.","Tomorrow, the teacher will benefit",7,6,-10.660168647766113,10.66016960144043,186.58937072753906,0.0571317088421215
train,head,causative,object_frame_overlay_subject_tomorrow_s00,overlay_subject_tomorrow_s00_teacher,teacher,manual_animate_subject,bad,unlicensed,appear,"Tomorrow, the teacher will appear the cup.","Tomorrow, the teacher will appear",7,6,7.436481952667236,7.436482906341553,183.85223388671875,0.04044815093692889
train,head,causative,object_frame_overlay_subject_tomorrow_s00,overlay_subject_tomorrow_s00_teacher,teacher,manual_animate_subject,good,licensed,burn,"Tomorrow, the teacher will burn the cup.","Tomorrow, the teacher will burn",7,6,-21.547473907470703,21.547475814819336,175.652099609375,0.1226713250951046
train,head,causative,object_frame_overlay_subject_tomorrow_s00,overlay_subject_tomorrow_s00_teacher,teacher,manual_animate_subject,bad,unlicensed,respond,"Tomorrow, the teacher will respond the cup.","Tomorrow, the teacher will respond",7,6,9.263970375061035,9.263971328735352,187.4724884033203,0.04941509769052214
