epoch,train_loss
1,2.356446776934498
2,2.356446776934498
3,2.356446776934498
4,2.356446776934498
5,2.356446776934498
6,2.356446776934498
7,2.356446776934498
8,2.356446776934498
9,2.356446776934498
10,2.356446776934498
11,2.356446776934498
12,2.356446776934498
13,2.356446776934498
14,2.356446776934498
15,2.356446776934498
16,2.356446776934498
17,2.356446776934498
18,2.356446776934498
19,2.356446776934498
20,2.356446776934498
21,2.356446776934498
22,2.356446776934498
23,2.356446776934498
24,2.356446776934498
25,2.356446776934498
26,2.356446776934498
27,2.356446776934498
28,2.356446776934498
29,2.356446776934498
30,2.356446776934498
