epoch,train_loss
1,2.480589237003677
2,2.480589237003677
3,2.480589237003677
4,2.480589237003677
5,2.480589237003677
6,2.480589237003677
7,2.480589237003677
8,2.480589237003677
9,2.480589237003677
10,2.480589237003677
11,2.480589237003677
12,2.480589237003677
13,2.480589237003677
14,2.480589237003677
15,2.480589237003677
16,2.480589237003677
17,2.480589237003677
18,2.480589237003677
19,2.480589237003677
20,2.480589237003677
21,2.480589237003677
22,2.480589237003677
23,2.480589237003677
24,2.480589237003677
25,2.480589237003677
26,2.480589237003677
27,2.480589237003677
28,2.480589237003677
29,2.480589237003677
30,2.480589237003677
