model,pair_key,regime,subtask,template_id,source_idx,direction,clean_side,corrupt_side,clean_verb,corrupt_verb,clean_target,corrupt_target,anchor_token_index,site,site_index,attribution,corrupt_metric,clean_metric
EleutherAI/pythia-1.4b,head|causative|object_frame|0,head,causative,object_frame,0,bad_to_good,bad,good,arrive,equip,., the,7,resid_embed,0,0.474609375,-8.59375,2.4375
EleutherAI/pythia-1.4b,head|causative|object_frame|1,head,causative,object_frame,1,bad_to_good,bad,good,arise,conduct,., the,7,resid_embed,0,-0.1337890625,-8.5625,0.25
EleutherAI/pythia-1.4b,head|causative|object_frame|2,head,causative,object_frame,2,bad_to_good,bad,good,expire,implement,., the,7,resid_embed,0,-0.62890625,-8.1875,-1.125
EleutherAI/pythia-1.4b,head|causative|object_frame|3,head,causative,object_frame,3,bad_to_good,bad,good,descend,refuse,., the,7,resid_embed,0,0.359375,-2.75,-4.0625
EleutherAI/pythia-1.4b,head|causative|object_frame|4,head,causative,object_frame,4,bad_to_good,bad,good,react,bake,., the,7,resid_embed,0,0.09521484375,-7.1875,-1.1875
EleutherAI/pythia-1.4b,head|causative|object_frame|5,head,causative,object_frame,5,bad_to_good,bad,good,zoom,engage,., the,7,resid_embed,0,0.287109375,-6.5,-4.8125
EleutherAI/pythia-1.4b,head|causative|object_frame|6,head,causative,object_frame,6,bad_to_good,bad,good,appear,regain,., the,7,resid_embed,0,1.453125,-7.28125,1.5625
EleutherAI/pythia-1.4b,head|causative|object_frame|8,head,causative,object_frame,8,bad_to_good,bad,good,interact,accommodate,., the,7,resid_embed,0,0.1748046875,-5.625,-2.500000476837158
EleutherAI/pythia-1.4b,head|causative|object_frame|0,head,causative,object_frame,0,bad_to_good,bad,good,arrive,equip,., the,7,resid_post_layer_00,1,0.6953125,-8.59375,2.4375
EleutherAI/pythia-1.4b,head|causative|object_frame|1,head,causative,object_frame,1,bad_to_good,bad,good,arise,conduct,., the,7,resid_post_layer_00,1,-0.25390625,-8.5625,0.25
EleutherAI/pythia-1.4b,head|causative|object_frame|2,head,causative,object_frame,2,bad_to_good,bad,good,expire,implement,., the,7,resid_post_layer_00,1,-1.96875,-8.1875,-1.125
EleutherAI/pythia-1.4b,head|causative|object_frame|3,head,causative,object_frame,3,bad_to_good,bad,good,descend,refuse,., the,7,resid_post_layer_00,1,1.1328125,-2.75,-4.0625
EleutherAI/pythia-1.4b,head|causative|object_frame|4,head,causative,object_frame,4,bad_to_good,bad,good,react,bake,., the,7,resid_post_layer_00,1,-0.380859375,-7.1875,-1.1875
EleutherAI/pythia-1.4b,head|causative|object_frame|5,head,causative,object_frame,5,bad_to_good,bad,good,zoom,engage,., the,7,resid_post_layer_00,1,-0.95703125,-6.5,-4.8125
EleutherAI/pythia-1.4b,head|causative|object_frame|6,head,causative,object_frame,6,bad_to_good,bad,good,appear,regain,., the,7,resid_post_layer_00,1,1.578125,-7.28125,1.5625
EleutherAI/pythia-1.4b,head|causative|object_frame|8,head,causative,object_frame,8,bad_to_good,bad,good,interact,accommodate,., the,7,resid_post_layer_00,1,0.55078125,-5.625,-2.500000476837158
EleutherAI/pythia-1.4b,head|causative|object_frame|0,head,causative,object_frame,0,bad_to_good,bad,good,arrive,equip,., the,7,resid_post_layer_01,2,0.56640625,-8.59375,2.4375
EleutherAI/pythia-1.4b,head|causative|object_frame|1,head,causative,object_frame,1,bad_to_good,bad,good,arise,conduct,., the,7,resid_post_layer_01,2,-0.62890625,-8.5625,0.25
EleutherAI/pythia-1.4b,head|causative|object_frame|2,head,causative,object_frame,2,bad_to_good,bad,good,expire,implement,., the,7,resid_post_layer_01,2,-2.078125,-8.1875,-1.125
EleutherAI/pythia-1.4b,head|causative|object_frame|3,head,causative,object_frame,3,bad_to_good,bad,good,descend,refuse,., the,7,resid_post_layer_01,2,0.5703125,-2.75,-4.0625
EleutherAI/pythia-1.4b,head|causative|object_frame|4,head,causative,object_frame,4,bad_to_good,bad,good,react,bake,., the,7,resid_post_layer_01,2,-0.458984375,-7.1875,-1.1875
EleutherAI/pythia-1.4b,head|causative|object_frame|5,head,causative,object_frame,5,bad_to_good,bad,good,zoom,engage,., the,7,resid_post_layer_01,2,-1.34375,-6.5,-4.8125
EleutherAI/pythia-1.4b,head|causative|object_frame|6,head,causative,object_frame,6,bad_to_good,bad,good,appear,regain,., the,7,resid_post_layer_01,2,2.234375,-7.28125,1.5625
EleutherAI/pythia-1.4b,head|causative|object_frame|8,head,causative,object_frame,8,bad_to_good,bad,good,interact,accommodate,., the,7,resid_post_layer_01,2,0.65625,-5.625,-2.500000476837158
EleutherAI/pythia-1.4b,head|causative|object_frame|0,head,causative,object_frame,0,bad_to_good,bad,good,arrive,equip,., the,7,resid_post_layer_02,3,0.427734375,-8.59375,2.4375
EleutherAI/pythia-1.4b,head|causative|object_frame|1,head,causative,object_frame,1,bad_to_good,bad,good,arise,conduct,., the,7,resid_post_layer_02,3,-0.8984375,-8.5625,0.25
EleutherAI/pythia-1.4b,head|causative|object_frame|2,head,causative,object_frame,2,bad_to_good,bad,good,expire,implement,., the,7,resid_post_layer_02,3,-1.8671875,-8.1875,-1.125
EleutherAI/pythia-1.4b,head|causative|object_frame|3,head,causative,object_frame,3,bad_to_good,bad,good,descend,refuse,., the,7,resid_post_layer_02,3,0.953125,-2.75,-4.0625
EleutherAI/pythia-1.4b,head|causative|object_frame|4,head,causative,object_frame,4,bad_to_good,bad,good,react,bake,., the,7,resid_post_layer_02,3,-0.984375,-7.1875,-1.1875
EleutherAI/pythia-1.4b,head|causative|object_frame|5,head,causative,object_frame,5,bad_to_good,bad,good,zoom,engage,., the,7,resid_post_layer_02,3,-2.234375,-6.5,-4.8125
EleutherAI/pythia-1.4b,head|causative|object_frame|6,head,causative,object_frame,6,bad_to_good,bad,good,appear,regain,., the,7,resid_post_layer_02,3,3.28125,-7.28125,1.5625
EleutherAI/pythia-1.4b,head|causative|object_frame|8,head,causative,object_frame,8,bad_to_good,bad,good,interact,accommodate,., the,7,resid_post_layer_02,3,0.038818359375,-5.625,-2.500000476837158
EleutherAI/pythia-1.4b,head|causative|object_frame|0,head,causative,object_frame,0,bad_to_good,bad,good,arrive,equip,., the,7,resid_post_layer_03,4,0.1455078125,-8.59375,2.4375
EleutherAI/pythia-1.4b,head|causative|object_frame|1,head,causative,object_frame,1,bad_to_good,bad,good,arise,conduct,., the,7,resid_post_layer_03,4,-0.71484375,-8.5625,0.25
EleutherAI/pythia-1.4b,head|causative|object_frame|2,head,causative,object_frame,2,bad_to_good,bad,good,expire,implement,., the,7,resid_post_layer_03,4,-1.6640625,-8.1875,-1.125
EleutherAI/pythia-1.4b,head|causative|object_frame|3,head,causative,object_frame,3,bad_to_good,bad,good,descend,refuse,., the,7,resid_post_layer_03,4,1.15625,-2.75,-4.0625
EleutherAI/pythia-1.4b,head|causative|object_frame|4,head,causative,object_frame,4,bad_to_good,bad,good,react,bake,., the,7,resid_post_layer_03,4,-1.2109375,-7.1875,-1.1875
